stock,symbol_nse,symbol_yfinance,industry
Piramal Pharma Ltd.,PPLPHARMA,PPLPHARMA.NS,Healthcare
Poly Medicure Ltd.,POLYMED,POLYMED.NS,Healthcare
Polycab India Ltd.,POLYCAB,POLYCAB.NS,Capital Goods
Polyplex Corporation Ltd.,POLYPLEX,POLYPLEX.NS,Capital Goods
Poonawalla Fincorp Ltd.,POONAWALLA,POONAWALLA.NS,Financial Services
Power Finance Corporation Ltd.,PFC,PFC.NS,Financial Services
Power Grid Corporation of India Ltd.,POWERGRID,POWERGRID.NS,Power
Praj Industries Ltd.,PRAJIND,PRAJIND.NS,Capital Goods
Prestige Estates Projects Ltd.,PRESTIGE,PRESTIGE.NS,Realty
Prince Pipes and Fittings Ltd.,PRINCEPIPE,PRINCEPIPE.NS,Capital Goods
Prism Johnson Ltd.,PRSMJOHNSN,PRSMJOHNSN.NS,Construction Materials
Procter & Gamble Hygiene & Health Care Ltd.,PGHH,PGHH.NS,Fast Moving Consumer Goods
Punjab National Bank,PNB,PNB.NS,Financial Services
Quess Corp Ltd.,QUESS,QUESS.NS,Services
RBL Bank Ltd.,RBLBANK,RBLBANK.NS,Financial Services
REC Ltd.,RECLTD,RECLTD.NS,Financial Services
RHI MAGNESITA INDIA LTD.,RHIM,RHIM.NS,Capital Goods
RITES Ltd.,RITES,RITES.NS,Construction
Radico Khaitan Ltd,RADICO,RADICO.NS,Fast Moving Consumer Goods
Rail Vikas Nigam Ltd.,RVNL,RVNL.NS,Construction
Rain Industries Ltd,RAIN,RAIN.NS,Chemicals
Rainbow Childrens Medicare Ltd.,RAINBOW,RAINBOW.NS,Healthcare
Rajesh Exports Ltd.,RAJESHEXPO,RAJESHEXPO.NS,Consumer Durables
Rallis India Ltd.,RALLIS,RALLIS.NS,Chemicals
Rashtriya Chemicals & Fertilizers Ltd.,RCF,RCF.NS,Chemicals
Ratnamani Metals & Tubes Ltd.,RATNAMANI,RATNAMANI.NS,Capital Goods
RattanIndia Enterprises Ltd.,RTNINDIA,RTNINDIA.NS,Services
Raymond Ltd.,RAYMOND,RAYMOND.NS,Textiles
Redington Ltd.,REDINGTON,REDINGTON.NS,Services
Relaxo Footwears Ltd.,RELAXO,RELAXO.NS,Consumer Durables
Reliance Industries Ltd.,RELIANCE,RELIANCE.NS,Oil Gas & Consumable Fuels
Restaurant Brands Asia Ltd.,RBA,RBA.NS,Consumer Services
Rossari Biotech Ltd.,ROSSARI,ROSSARI.NS,Chemicals
Route Mobile Ltd.,ROUTE,ROUTE.NS,Telecommunication
SBI Cards and Payment Services Ltd.,SBICARD,SBICARD.NS,Financial Services
SBI Life Insurance Company Ltd.,SBILIFE,SBILIFE.NS,Financial Services
SJVN Ltd.,SJVN,SJVN.NS,Power
SKF India Ltd.,SKFINDIA,SKFINDIA.NS,Capital Goods
SRF Ltd.,SRF,SRF.NS,Chemicals
Samvardhana Motherson International Ltd.,MOTHERSON,MOTHERSON.NS,Automobile and Auto Components
Sanofi India Ltd.,SANOFI,SANOFI.NS,Healthcare
Sapphire Foods India Ltd.,SAPPHIRE,SAPPHIRE.NS,Consumer Services
Schaeffler India Ltd.,SCHAEFFLER,SCHAEFFLER.NS,Automobile and Auto Components
Sharda Cropchem Ltd.,SHARDACROP,SHARDACROP.NS,Chemicals
Shoppers Stop Ltd.,SHOPERSTOP,SHOPERSTOP.NS,Consumer Services
Shree Cement Ltd.,SHREECEM,SHREECEM.NS,Construction Materials
Shree Renuka Sugars Ltd.,RENUKA,RENUKA.NS,Fast Moving Consumer Goods
Shriram Finance Ltd.,SHRIRAMFIN,SHRIRAMFIN.NS,Financial Services
Shyam Metalics and Energy Ltd.,SHYAMMETL,SHYAMMETL.NS,Metals & Mining
Siemens Ltd.,SIEMENS,SIEMENS.NS,Capital Goods
Sobha Ltd.,SOBHA,SOBHA.NS,Realty
Solar Industries India Ltd.,SOLARINDS,SOLARINDS.NS,Chemicals
Sona BLW Precision Forgings Ltd.,SONACOMS,SONACOMS.NS,Automobile and Auto Components
Sonata Software Ltd.,SONATSOFTW,SONATSOFTW.NS,Information Technology
Star Health and Allied Insurance Company Ltd.,STARHEALTH,STARHEALTH.NS,Financial Services
State Bank of India,SBIN,SBIN.NS,Financial Services
Steel Authority of India Ltd.,SAIL,SAIL.NS,Metals & Mining
Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,SWSOLAR.NS,Construction
Sterlite Technologies Ltd.,STLTECH,STLTECH.NS,Telecommunication
Sumitomo Chemical India Ltd.,SUMICHEM,SUMICHEM.NS,Chemicals
Sun Pharma Advanced Research Company Ltd.,SPARC,SPARC.NS,Healthcare
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,SUNPHARMA.NS,Healthcare
Sun TV Network Ltd.,SUNTV,SUNTV.NS,Media Entertainment & Publication
Sundaram Finance Ltd.,SUNDARMFIN,SUNDARMFIN.NS,Financial Services
Sundram Fasteners Ltd.,SUNDRMFAST,SUNDRMFAST.NS,Automobile and Auto Components
Sunteck Realty Ltd.,SUNTECK,SUNTECK.NS,Realty
Suprajit Engineering Ltd.,SUPRAJIT,SUPRAJIT.NS,Automobile and Auto Components
Supreme Industries Ltd.,SUPREMEIND,SUPREMEIND.NS,Capital Goods
Suven Pharmaceuticals Ltd.,SUVENPHAR,SUVENPHAR.NS,Healthcare
Suzlon Energy Ltd.,SUZLON,SUZLON.NS,Capital Goods
Swan Energy Ltd.,SWANENERGY,SWANENERGY.NS,Realty
Syngene International Ltd.,SYNGENE,SYNGENE.NS,Healthcare
TCI Express Ltd.,TCIEXP,TCIEXP.NS,Services
TCNS Clothing Co. Ltd.,TCNSBRANDS,TCNSBRANDS.NS,Textiles
TTK Prestige Ltd.,TTKPRESTIG,TTKPRESTIG.NS,Consumer Durables
TV18 Broadcast Ltd.,TV18BRDCST,TV18BRDCST.NS,Media Entertainment & Publication
TVS Motor Company Ltd.,TVSMOTOR,TVSMOTOR.NS,Automobile and Auto Components
Tamilnad Mercantile Bank Ltd.,TMB,TMB.NS,Financial Services
Tanla Platforms Ltd.,TANLA,TANLA.NS,Information Technology
Tata Chemicals Ltd.,TATACHEM,TATACHEM.NS,Chemicals
Tata Communications Ltd.,TATACOMM,TATACOMM.NS,Telecommunication
Tata Consultancy Services Ltd.,TCS,TCS.NS,Information Technology
Tata Consumer Products Ltd.,TATACONSUM,TATACONSUM.NS,Fast Moving Consumer Goods
Tata Elxsi Ltd.,TATAELXSI,TATAELXSI.NS,Information Technology
Tata Investment Corporation Ltd.,TATAINVEST,TATAINVEST.NS,Financial Services
Tata Motors Ltd DVR,TATAMTRDVR,TATAMTRDVR.NS,Automobile and Auto Components
Tata Motors Ltd.,TATAMOTORS,TATAMOTORS.NS,Automobile and Auto Components
Tata Power Co. Ltd.,TATAPOWER,TATAPOWER.NS,Power
Tata Steel Ltd.,TATASTEEL,TATASTEEL.NS,Metals & Mining
Tata Teleservices (Maharashtra) Ltd.,TTML,TTML.NS,Telecommunication
Teamlease Services Ltd.,TEAMLEASE,TEAMLEASE.NS,Services
Tech Mahindra Ltd.,TECHM,TECHM.NS,Information Technology
Tejas Networks Ltd.,TEJASNET,TEJASNET.NS,Telecommunication
The New India Assurance Company Ltd.,NIACL,NIACL.NS,Financial Services
The Ramco Cements Ltd.,RAMCOCEM,RAMCOCEM.NS,Construction Materials
Thermax Ltd.,THERMAX,THERMAX.NS,Capital Goods
Timken India Ltd.,TIMKEN,TIMKEN.NS,Capital Goods
Titan Company Ltd.,TITAN,TITAN.NS,Consumer Durables
Torrent Pharmaceuticals Ltd.,TORNTPHARM,TORNTPHARM.NS,Healthcare
Torrent Power Ltd.,TORNTPOWER,TORNTPOWER.NS,Power
Transport Corporation of India Ltd.,TCI,TCI.NS,Services
Trent Ltd.,TRENT,TRENT.NS,Consumer Services
Trident Ltd.,TRIDENT,TRIDENT.NS,Textiles
Triveni Engineering & Industries Ltd.,TRIVENI,TRIVENI.NS,Fast Moving Consumer Goods
Triveni Turbine Ltd.,TRITURBINE,TRITURBINE.NS,Capital Goods
Tube Investments of India Ltd.,TIINDIA,TIINDIA.NS,Automobile and Auto Components
UCO Bank,UCOBANK,UCOBANK.NS,Financial Services
UFLEX Ltd.,UFLEX,UFLEX.NS,Capital Goods
UNO Minda Ltd.,UNOMINDA,UNOMINDA.NS,Automobile and Auto Components
UPL Ltd.,UPL,UPL.NS,Chemicals
UTI Asset Management Company Ltd.,UTIAMC,UTIAMC.NS,Financial Services
UltraTech Cement Ltd.,ULTRACEMCO,ULTRACEMCO.NS,Construction Materials
Union Bank of India,UNIONBANK,UNIONBANK.NS,Financial Services
United Breweries Ltd.,UBL,UBL.NS,Fast Moving Consumer Goods
United Spirits Ltd.,MCDOWELL-N,MCDOWELL-N.NS,Fast Moving Consumer Goods
V-Guard Industries Ltd.,VGUARD,VGUARD.NS,Consumer Durables
V-Mart Retail Ltd.,VMART,VMART.NS,Consumer Services
V.I.P. Industries Ltd.,VIPIND,VIPIND.NS,Consumer Durables
Vaibhav Global Ltd.,VAIBHAVGBL,VAIBHAVGBL.NS,Consumer Durables
Vardhman Textiles Ltd.,VTL,VTL.NS,Textiles
Varroc Engineering Ltd.,VARROC,VARROC.NS,Automobile and Auto Components
Varun Beverages Ltd.,VBL,VBL.NS,Fast Moving Consumer Goods
Vedant Fashions Ltd.,MANYAVAR,MANYAVAR.NS,Consumer Services
Vedanta Ltd.,VEDL,VEDL.NS,Metals & Mining
Vijaya Diagnostic Centre Ltd.,VIJAYA,VIJAYA.NS,Healthcare
Vinati Organics Ltd.,VINATIORGA,VINATIORGA.NS,Chemicals
Vodafone Idea Ltd.,IDEA,IDEA.NS,Telecommunication
Voltas Ltd.,VOLTAS,VOLTAS.NS,Consumer Durables
Welspun Corp Ltd.,WELCORP,WELCORP.NS,Capital Goods
Welspun India Ltd.,WELSPUNIND,WELSPUNIND.NS,Textiles
Westlife Foodworld Ltd.,WESTLIFE,WESTLIFE.NS,Consumer Services
Whirlpool of India Ltd.,WHIRLPOOL,WHIRLPOOL.NS,Consumer Durables
Wipro Ltd.,WIPRO,WIPRO.NS,Information Technology
Yes Bank Ltd.,YESBANK,YESBANK.NS,Financial Services
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,ZFCVINDIA.NS,Automobile and Auto Components
Zee Entertainment Enterprises Ltd.,ZEEL,ZEEL.NS,Media Entertainment & Publication
Zensar Technolgies Ltd.,ZENSARTECH,ZENSARTECH.NS,Information Technology
Zomato Ltd.,ZOMATO,ZOMATO.NS,Consumer Services
Zydus Lifesciences Ltd.,ZYDUSLIFE,ZYDUSLIFE.NS,Healthcare
Zydus Wellness Ltd.,ZYDUSWELL,ZYDUSWELL.NS,Fast Moving Consumer Goods
eClerx Services Ltd.,ECLERX,ECLERX.NS,Services
